"[36, 56, 84]","[536, 1023]"
"[36, 56, 84]","[536, 1023]"
"[35, 55, 84]","[536, 1023]"
"[35, 55, 82]","[536, 1023]"
"[35, 56, 85]","[536, 1023]"
"[34, 59, 83]","[536, 1023]"
"[34, 59, 83]","[536, 1023]"
"[18, 60, 98]","[536, 1023]"
"[17, 57, 96]","[536, 1023]"
"[16, 55, 82]","[536, 1023]"
"[17, 58, 83]","[536, 1023]"
"[16, 66, 101]","[536, 1023]"
"[16, 58, 122]","[536, 1023]"
"[16, 59, 93]","[536, 1023]"
"[16, 55, 82]","[536, 1023]"
"[30, 72, 82]","[536, 1023]"
"[28, 61, 93]","[536, 1023]"
"[27, 50, 93]","[536, 1023]"
"[27, 89, 12]","[536, 1023]"
"[17, 46, 9]","[536, 1023]"
"[18, 45, 8]","[536, 1023]"
"[12, 46, 7]","[536, 1023]"
"[12, 47, 7]","[536, 1023]"
"[12, 46, 7]","[536, 1023]"
"[11, 46, 7]","[536, 1023]"
"[12, 46, 7]","[536, 1023]"
"[10, 45, 7]","[1023, 522]"
"[10, 45, 7]","[1023, 522]"
"[10, 46, 7]","[1023, 522]"
"[10, 46, 7]","[1023, 522]"
"[10, 45, 7]","[1023, 522]"
"[10, 46, 7]","[1023, 522]"
"[10, 45, 7]","[1023, 522]"
"[10, 45, 7]","[1023, 522]"
"[10, 45, 7]","[1023, 522]"
"[10, 45, 8]","[1023, 522]"
"[16, 41, 22]","[1023, 522]"
"[89, 24, 24]","[1023, 522]"
"[90, 40, 23]","[1023, 522]"
"[59, 41, 25]","[1023, 522]"
"[88, 41, 26]","[1023, 522]"
"[89, 40, 19]","[1023, 522]"
"[89, 41, 23]","[1023, 522]"
"[37, 43, 50]","[1023, 522]"
"[88, 127, 29]","[1023, 522]"
"[89, 126, 18]","[1023, 522]"
"[36, 123, 19]","[1023, 522]"
"[34, 122, 19]","[1023, 522]"
"[34, 121, 21]","[1023, 522]"
"[32, 122, 18]","[1023, 522]"
"[32, 124, 12]","[1023, 522]"
"[31, 18, 11]","[1023, 522]"
"[30, 14, 12]","[1023, 522]"
"[30, 18, 12]","[1023, 522]"
"[29, 11, 12]","[1023, 522]"
