Front,Right,Left,Steering,Driving
16,45,10,0,522
16,46,11,0,522
17,45,10,0,522
16,44,10,0,596
16,44,10,0,1023
16,45,9,0,1023
16,45,10,0,1023
17,45,10,0,1023
13,41,21,1023,1023
12,41,16,1023,893
12,41,15,1023,522
12,40,17,1023,522
13,40,17,1023,522
13,40,17,1023,522
11,39,19,1023,522
12,39,19,1023,522
12,38,20,1023,522
53,40,22,1023,522
11,39,21,1023,522
53,45,22,1023,594
10,43,22,1023,1023
11,38,22,1023,1023
54,41,23,1023,1023
13,52,22,1023,1023
12,41,23,1023,1023
63,46,22,1023,522
62,40,24,1023,522
60,45,24,1023,522
50,42,25,1023,522
60,42,26,1023,522
41,46,27,1023,522
36,47,28,1023,625
33,19,30,1023,1023
33,43,37,1023,1023
33,41,14,1023,1023
15,15,9,1023,1023
15,15,9,1023,1023
14,15,9,1023,1023
14,34,9,1023,1023
14,146,10,1023,1023
13,19,9,1023,1023
13,20,10,1023,522
12,16,10,1023,522
11,20,10,1023,522
12,19,10,1023,522
11,19,11,1023,522
11,19,12,1023,723
11,18,12,1023,1023
11,18,13,1023,522
10,17,13,1023,522
10,18,13,1023,522
10,17,14,1023,522
11,16,14,1023,897
12,16,14,1023,1023
17,18,37,1023,1023
16,20,15,0,0
16,18,17,0,0
17,73,17,0,0
17,20,24,0,0
16,66,31,536,0
16,63,30,536,522
17,79,24,536,522
20,62,44,536,522
20,75,50,536,700
20,65,49,536,1023
20,68,50,536,1023
20,65,49,1023,1023
20,76,43,1023,1023
22,64,49,1023,1023
19,64,36,1023,1023
18,72,17,1023,1023
18,73,16,1023,1023
17,18,17,1023,1023
16,78,16,1023,1023
15,83,18,1023,1023
15,18,24,1023,1023
51,78,24,1023,1023
16,55,10,1023,522
16,15,8,1023,522
16,15,9,1023,522
17,14,9,1023,522
16,14,11,1023,522
17,14,11,1023,522
19,13,12,1023,522
18,13,13,1023,522
16,12,11,1023,522
16,12,10,1023,832
17,12,9,1023,1023
18,12,10,1023,1023
17,12,9,1023,1023
18,12,9,1023,1023
18,12,9,1023,863
18,12,9,536,522
18,12,11,536,522
18,12,12,536,522
18,12,72,536,522
17,12,72,536,522
