"[5, 46, 15]","[1023, 522]"
"[5, 49, 16]","[1023, 522]"
"[6, 89, 18]","[1023, 522]"
"[9, 42, 18]","[1023, 522]"
"[12, 89, 17]","[1023, 522]"
"[44, 90, 19]","[1023, 522]"
"[10, 89, 20]","[1023, 522]"
"[13, 87, 20]","[1023, 522]"
"[38, 136, 22]","[1023, 522]"
"[39, 85, 22]","[1023, 522]"
"[38, 135, 23]","[1023, 522]"
"[37, 137, 27]","[1023, 522]"
"[36, 133, 39]","[1023, 522]"
"[35, 133, 10]","[1023, 522]"
"[28, 17, 13]","[536, 1023]"
"[29, 17, 13]","[536, 1023]"
"[28, 17, 13]","[536, 1023]"
"[28, 17, 13]","[536, 1023]"
"[28, 17, 13]","[536, 1023]"
"[29, 17, 13]","[536, 982]"
"[28, 17, 13]","[536, 1023]"
"[28, 17, 13]","[536, 1023]"
"[28, 18, 13]","[536, 1023]"
"[28, 19, 13]","[536, 1023]"
"[28, 17, 14]","[536, 1023]"
"[28, 18, 14]","[536, 1023]"
"[27, 20, 15]","[536, 1023]"
"[27, 18, 14]","[536, 1023]"
"[26, 17, 15]","[536, 1023]"
"[25, 19, 14]","[536, 1023]"
"[25, 17, 15]","[536, 1023]"
"[24, 16, 16]","[536, 1023]"
"[24, 16, 15]","[536, 1023]"
"[24, 14, 15]","[536, 1023]"
"[23, 15, 17]","[536, 1023]"
"[22, 17, 17]","[536, 1023]"
"[22, 19, 15]","[536, 1023]"
"[22, 71, 16]","[536, 1023]"
"[19, 105, 15]","[536, 1023]"
"[18, 18, 19]","[536, 1023]"
"[17, 48, 15]","[536, 1023]"
"[75, 17, 85]","[536, 1023]"
"[74, 17, 85]","[536, 1023]"
"[74, 17, 86]","[536, 1023]"
"[74, 17, 86]","[536, 1023]"
"[74, 17, 85]","[536, 1023]"
"[75, 17, 86]","[536, 1023]"
"[75, 17, 86]","[536, 1023]"
"[74, 17, 87]","[536, 1023]"
"[74, 17, 86]","[536, 1023]"
