"[21, 8, 39]","[536, 522]"
"[21, 7, 39]","[536, 522]"
"[21, 7, 38]","[536, 522]"
"[21, 8, 38]","[536, 522]"
"[21, 7, 39]","[536, 522]"
"[21, 7, 39]","[536, 522]"
"[21, 7, 39]","[536, 522]"
"[21, 8, 39]","[536, 522]"
"[21, 8, 39]","[536, 522]"
"[21, 8, 39]","[536, 522]"
"[21, 8, 39]","[536, 522]"
"[21, 7, 39]","[536, 522]"
"[21, 8, 39]","[536, 522]"
"[21, 8, 39]","[536, 522]"
"[21, 7, 39]","[536, 522]"
"[15, 22, 39]","[536, 1023]"
"[13, 53, 39]","[536, 1023]"
"[13, 42, 39]","[536, 1023]"
"[13, 20, 40]","[536, 1023]"
"[13, 39, 87]","[536, 1023]"
"[13, 85, 40]","[536, 1023]"
"[17, 38, 39]","[536, 1023]"
"[15, 71, 39]","[536, 1023]"
"[17, 9, 39]","[536, 522]"
"[17, 9, 39]","[536, 522]"
"[18, 8, 39]","[536, 573]"
"[67, 7, 39]","[536, 1023]"
"[66, 7, 39]","[536, 1023]"
"[66, 7, 39]","[536, 1023]"
"[15, 8, 39]","[536, 1023]"
"[14, 8, 39]","[536, 1023]"
"[14, 8, 39]","[536, 1023]"
"[15, 9, 40]","[536, 1023]"
"[14, 12, 40]","[536, 1023]"
"[16, 17, 41]","[536, 522]"
"[63, 43, 42]","[536, 522]"
"[16, 18, 87]","[536, 522]"
"[17, 65, 44]","[536, 522]"
"[16, 62, 42]","[536, 522]"
"[17, 58, 44]","[536, 806]"
"[16, 66, 43]","[536, 1023]"
"[16, 11, 8]","[0, 522]"
"[18, 40, 8]","[0, 522]"
"[18, 13, 8]","[0, 522]"
"[15, 10, 8]","[0, 522]"
"[14, 10, 8]","[536, 522]"
"[18, 9, 7]","[536, 522]"
"[19, 10, 8]","[536, 1023]"
"[16, 10, 8]","[536, 1023]"
"[17, 9, 8]","[536, 1023]"
"[18, 9, 8]","[536, 1023]"
"[19, 10, 7]","[536, 1023]"
"[18, 14, 7]","[536, 1023]"
"[17, 10, 7]","[536, 522]"
"[20, 10, 7]","[536, 522]"
"[16, 43, 7]","[536, 522]"
"[15, 11, 7]","[536, 522]"
"[15, 10, 7]","[536, 522]"
"[14, 11, 7]","[536, 666]"
"[15, 11, 7]","[536, 705]"
"[14, 11, 7]","[536, 1023]"
"[15, 10, 7]","[536, 1023]"
"[16, 10, 7]","[536, 1023]"
"[16, 10, 7]","[536, 1023]"
"[45, 10, 7]","[536, 1023]"
"[20, 10, 6]","[536, 1023]"
"[18, 42, 6]","[536, 1023]"
"[23, 10, 6]","[536, 1023]"
"[19, 11, 6]","[536, 1023]"
"[17, 11, 6]","[536, 1023]"
"[42, 11, 6]","[536, 1023]"
"[19, 11, 6]","[536, 1023]"
"[15, 11, 6]","[536, 1023]"
"[16, 11, 6]","[536, 1023]"
"[17, 11, 6]","[536, 1023]"
"[34, 10, 6]","[536, 1023]"
"[18, 10, 6]","[536, 1023]"
"[16, 10, 7]","[536, 1023]"
"[16, 11, 7]","[536, 1023]"
"[31, 11, 7]","[536, 522]"
"[16, 11, 7]","[536, 522]"
